dataset,method,nbits,recall,latency,size,build,flat_latency,flat_size,flat_build,m,M,efSearch,nlist,nprobe
random,LSH,256.0,0.021,0.007957,3.4268,0.207105,0.450857,146.4844,0.022801,,,,,
random,LSH,512.0,0.098,0.007958,6.8536,0.142781,0.450857,146.4844,0.022801,,,,,
random,LSH,1024.0,0.193,0.021567,13.7071,0.418021,0.450857,146.4844,0.022801,,,,,
random,LSH,2048.0,0.321,0.045454,27.4142,1.215741,0.450857,146.4844,0.022801,,,,,
random,LSH,4096.0,0.472,0.066043,54.8282,5.876179,0.450857,146.4844,0.022801,,,,,
clustered,LSH,256.0,0.009,0.007817,3.4268,0.084729,0.35324,146.4844,0.022292,,,,,
clustered,LSH,512.0,0.024,0.008383,6.8536,0.146483,0.35324,146.4844,0.022292,,,,,
clustered,LSH,1024.0,0.043,0.015208,13.7071,0.293915,0.35324,146.4844,0.022292,,,,,
clustered,LSH,2048.0,0.098,0.024791,27.4142,1.086712,0.35324,146.4844,0.022292,,,,,
clustered,LSH,4096.0,0.166,0.115786,54.8282,5.416388,0.35324,146.4844,0.022292,,,,,
random,PQ,6.0,0.065,0.160999,2.3827,2.31941,0.350582,146.4844,0.022193,32.0,,,,
random,PQ,8.0,0.106,0.03307,3.4268,30.475848,0.350582,146.4844,0.022193,32.0,,,,
random,PQ,10.0,0.175,0.228683,5.3148,203.090579,0.350582,146.4844,0.022193,32.0,,,,
random,PQ,10.0,0.021,0.04803,2.4538,62.133002,0.350582,146.4844,0.022193,8.0,,,,
random,PQ,10.0,0.05,0.084549,3.4074,144.986512,0.350582,146.4844,0.022193,16.0,,,,
random,PQ,10.0,0.347,0.463351,9.1295,39.835131,0.350582,146.4844,0.022193,64.0,,,,
random,PQ,10.0,0.853,1.47967,24.3883,51.889474,0.350582,146.4844,0.022193,192.0,,,,
clustered,PQ,6.0,0.056,0.165007,2.3827,2.291198,0.368589,146.4844,0.020515,32.0,,,,
clustered,PQ,8.0,0.093,0.04185,3.4268,30.530696,0.368589,146.4844,0.020515,32.0,,,,
clustered,PQ,10.0,0.161,0.253953,5.3148,213.991172,0.368589,146.4844,0.020515,32.0,,,,
clustered,PQ,10.0,0.046,0.042582,2.4538,64.344916,0.368589,146.4844,0.020515,8.0,,,,
clustered,PQ,10.0,0.079,0.085164,3.4074,170.267781,0.368589,146.4844,0.020515,16.0,,,,
clustered,PQ,10.0,0.365,0.486081,9.1295,43.104859,0.368589,146.4844,0.020515,64.0,,,,
clustered,PQ,10.0,0.851,1.570801,24.3883,56.392871,0.368589,146.4844,0.020515,192.0,,,,
random,HNSW,,0.045,0.009307,172.4442,27.335029,0.373639,146.4844,0.020033,,32.0,16.0,,
random,HNSW,,0.081,0.027066,172.4442,27.335029,0.373639,146.4844,0.020033,,32.0,32.0,,
random,HNSW,,0.133,0.030652,172.4442,27.335029,0.373639,146.4844,0.020033,,32.0,64.0,,
random,HNSW,,0.22,0.06502,172.4442,27.335029,0.373639,146.4844,0.020033,,32.0,128.0,,
random,HNSW,,0.377,0.12263,172.4442,27.335029,0.373639,146.4844,0.020033,,32.0,256.0,,
random,HNSW,,0.038,0.008248,154.1704,8.246602,0.373639,146.4844,0.020033,,8.0,64.0,,
random,HNSW,,0.079,0.018874,160.249,14.162722,0.373639,146.4844,0.020033,,16.0,64.0,,
random,HNSW,,0.181,0.05199,196.8465,36.079458,0.373639,146.4844,0.020033,,64.0,64.0,,
clustered,HNSW,,0.524,0.007632,172.4442,23.312758,0.583915,146.4844,0.041351,,32.0,16.0,,
clustered,HNSW,,0.678,0.016392,172.4442,23.312758,0.583915,146.4844,0.041351,,32.0,32.0,,
clustered,HNSW,,0.816,0.018519,172.4442,23.312758,0.583915,146.4844,0.041351,,32.0,64.0,,
clustered,HNSW,,0.924,0.062594,172.4442,23.312758,0.583915,146.4844,0.041351,,32.0,128.0,,
clustered,HNSW,,0.982,0.130074,172.4442,23.312758,0.583915,146.4844,0.041351,,32.0,256.0,,
clustered,HNSW,,0.454,0.005133,154.1704,7.041177,0.583915,146.4844,0.041351,,8.0,64.0,,
clustered,HNSW,,0.651,0.010995,160.249,8.727483,0.583915,146.4844,0.041351,,16.0,64.0,,
clustered,HNSW,,0.885,0.029318,196.8465,28.820982,0.583915,146.4844,0.041351,,64.0,64.0,,
financebench,LSH,256.0,0.314,0.034707,3.5541,0.315202,0.623661,152.5914,0.079375,,,,,
financebench,LSH,512.0,0.4873,0.048779,7.1081,0.410287,0.623661,152.5914,0.079375,,,,,
financebench,LSH,1024.0,0.6133,0.058458,14.216,0.928654,0.623661,152.5914,0.079375,,,,,
financebench,LSH,2048.0,0.6993,0.14264,28.432,2.210446,0.623661,152.5914,0.079375,,,,,
financebench,LSH,4096.0,0.7913,0.201859,56.8639,9.760538,0.623661,152.5914,0.079375,,,,,
financebench,PQ,6.0,0.3847,0.370415,2.4781,3.131988,0.629755,152.5914,0.027736,32.0,,,,
financebench,PQ,8.0,0.4893,0.0728,3.5541,32.599101,0.629755,152.5914,0.027736,32.0,,,,
financebench,PQ,10.0,0.5533,0.40826,5.4738,221.135771,0.629755,152.5914,0.027736,32.0,,,,
financebench,PQ,10.0,0.236,0.099467,2.4935,67.811829,0.629755,152.5914,0.027736,8.0,,,,
financebench,PQ,10.0,0.384,0.252223,3.4869,166.056363,0.629755,152.5914,0.027736,16.0,,,,
financebench,PQ,10.0,0.7553,0.739527,9.4475,44.811697,0.629755,152.5914,0.027736,64.0,,,,
financebench,PQ,10.0,0.9567,2.310311,25.3425,54.369109,0.629755,152.5914,0.027736,192.0,,,,
financebench,HNSW,,0.7807,0.007319,179.6351,10.786344,0.746057,152.5914,0.042449,,32.0,16.0,,
financebench,HNSW,,0.88,0.006436,179.6351,10.786344,0.746057,152.5914,0.042449,,32.0,32.0,,
financebench,HNSW,,0.9307,0.010821,179.6351,10.786344,0.746057,152.5914,0.042449,,32.0,64.0,,
financebench,HNSW,,0.9847,0.033011,179.6351,10.786344,0.746057,152.5914,0.042449,,32.0,128.0,,
financebench,HNSW,,0.9893,0.051851,179.6351,10.786344,0.746057,152.5914,0.042449,,32.0,256.0,,
financebench,HNSW,,0.814,0.007108,160.5979,3.813002,0.746057,152.5914,0.042449,,8.0,64.0,,
financebench,HNSW,,0.9013,0.00798,166.9307,4.671417,0.746057,152.5914,0.042449,,16.0,64.0,,
financebench,HNSW,,0.9647,0.01935,205.0556,10.213402,0.746057,152.5914,0.042449,,64.0,64.0,,
random,LSH-trained,256.0,0.021,0.008399395504966378,3.427823066711426,0.8047649578657001,0.5904773335205391,146.48441791534424,1.147056959103793,,,,,
random,LSH-trained,512.0,0.09699999999999999,0.007906249957159162,6.855557441711426,1.4477407499216497,0.5904773335205391,146.48441791534424,1.147056959103793,,,,,
random,LSH-trained,1024.0,0.19400000000000003,0.03735391644295305,13.711026191711426,2.7538596249651164,0.5904773335205391,146.48441791534424,1.147056959103793,,,,,
random,LSH-trained,2048.0,0.32499999999999996,0.05221304146107286,27.421963691711426,6.094013041816652,0.5904773335205391,146.48441791534424,1.147056959103793,,,,,
random,LSH-trained,4096.0,0.46399999999999997,0.1855321874609217,54.843838691711426,19.471591084031388,0.5904773335205391,146.48441791534424,1.147056959103793,,,,,
clustered,LSH-trained,256.0,0.016,0.01047122897580266,3.427823066711426,0.6486435839906335,0.5082594584673643,146.48441791534424,0.7376458749640733,,,,,
clustered,LSH-trained,512.0,0.021,0.013936562114395201,6.855557441711426,1.2280870419926941,0.5082594584673643,146.48441791534424,0.7376458749640733,,,,,
clustered,LSH-trained,1024.0,0.064,0.021255812607705593,13.711026191711426,2.401842625113204,0.5082594584673643,146.48441791534424,0.7376458749640733,,,,,
clustered,LSH-trained,2048.0,0.11299999999999999,0.03396395861636847,27.421963691711426,6.807010666001588,0.5082594584673643,146.48441791534424,0.7376458749640733,,,,,
clustered,LSH-trained,4096.0,0.24100000000000002,0.10624468745663762,54.843838691711426,25.881284709088504,0.5082594584673643,146.48441791534424,0.7376458749640733,,,,,
financebench,LSH-trained,256.0,0.32466666666666666,0.015089937020093203,3.555050849914551,0.5076979591976851,0.6480917914304882,152.59135150909424,1.014995874837041,,,,,
financebench,LSH-trained,512.0,0.4779999999999999,0.014973291545175016,7.110013008117676,1.2290501249954104,0.6480917914304882,152.59135150909424,1.014995874837041,,,,,
financebench,LSH-trained,1024.0,0.5633333333333334,0.025102708488702774,14.219937324523926,2.1474154589232057,0.6480917914304882,152.59135150909424,1.014995874837041,,,,,
financebench,LSH-trained,2048.0,0.622,0.09410260443110019,28.439785957336426,7.513377625029534,0.6480917914304882,152.59135150909424,1.014995874837041,,,,,
financebench,LSH-trained,4096.0,0.666,0.22199939598795027,56.879483222961426,25.37368933390826,0.6480917914304882,152.59135150909424,1.014995874837041,,,,,
